幸い（さいわい） 幸好、幸虧、有幸 
心に響く（こころにひびく） 共鳴
高まる（たかまる） 升高、高漲
代替（だいたい） 代替
心に誓う（こころのちかう） 由衷發誓
走り回る（はしりまわる） 輾轉、奔波
たいした～じゃない 不是什麼大不了的～、不那麼～
しまう 收拾起來、收好
なだれ込む（なだれこむ） 蜂擁而上
誇らしい（ほこらしい） 自豪、洋洋得意、自鳴得意
微笑む（ほほえむ） 微笑
鉄分（てつぶん） 鐵質
外す（はずす） 除名、從～中刪除
わめく 叫、呼喚、嚷嚷
手がつけられない（てがつけられない） 無計可施、沒辦法
載る（のる） 刊載、刊登
潜る（もぐる） 潛水、潛入
真っ赤な（まっかな） 通紅、鮮紅
燃え広がる（もえひろがる） 延燒、火勢蔓延
飽きる（あきる） 厭倦、煩膩
ノロウイルス 諾羅病毒、腸胃型流感
注目を浴びる（ちゅうもくをあびる） 受萬眾矚目
進化する（しんかする） 進化 
たずねる 尋、找、尋求、問、打聽 
起源（きげん） 起源 
気軽に（きがるに） 輕鬆地、愉快地、隨意地 
空腹を満たす（くうふくをみたす） 填滿肚子 
立派な（りっぱな） 令人欽佩的 
工夫（くふう） 竅門、辦法、想辦法、籌劃、工人 
行列（ぎょうれつ） 隊伍 
ジャンル 風格、類型、流派、種類 
パトロール 巡邏、巡視 
豊かな（ゆたかな） 豐富的、富足的 
外資系企業（がいしけいきぎょう） 外資企業 
気楽な（きらくな） 舒暢、舒適、悠閒輕鬆、無憂無慮 
のんびりする 別緊張 
猛暑（もうしょ） 酷暑 
いっそう 更加、益發 
貢献する（こうけんする） 貢獻 
礼儀（れいぎ） 禮儀、禮貌 
幸（さち） 幸福、幸運 
経営陣（けいえいじん） 管理層 
配る（くばる） 分配、分送 
主催者側（しゅさいしゃがわ） 主辦單位 
勧める（すすめる） 券、勸誘、敦促 
ほぐれる 解開、消除 
すっきり 舒暢、輕鬆、流暢、整潔 
和やかな（なごやかな） 平靜的 
コンサルティング 諮詢 
感覚（かんかく） 感覺
価値（かち） 價值
話題になる（わだいになる） 成為話題
具（ぐ） 配料、配備食材
独自の（どくじの） 獨創的、特色的
幸福な（こうふくな） 幸福、幸福的
男女共学（だんじょきょうがく）男女同校
占める（しめる） 占據、占有、占領
先進国（せんしんこく） 發達國家、先進國家
排出する（はいしゅつする） 排出、排放
分類する（ぶんるいする） 分類
下り坂（くだりさか） 下坡、衰退、沒落
スピードが出る（すぴーどがでる） 加速
夜間（やかん） 夜間、夜晚
重労働（じゅうろうどう） 重勞力工作、重活
賃金（ちんぎん） 工資、租金
人手不足（ひとでぶそく） 人手不足
国内総生産（こくないそうせいさん） GDP
水準（すいじゅん） 水準、水平
向上する（こうじょうする） 提高
わずか 僅僅、一點點
文化遺産（ぶんかいさん） 文化遺產
意識が高い（いしきがたかい） 意識高、覺醒
肌触り（はだざわり） 觸感
高級車（こうきゅうしゃ） 高級車
安定感（あんていかん） 安定感、安全感
一流大学（いちりゅうだいがく） 一流大學
相当（そうとう） 相當於、適當、相稱
栄養を摂る（えいようをとる） 攝取營養
黒塗りの高級車（くろぬりのこうきゅうしゃ） 黑色高級車
実績（じっせき） 業績、成績 
獲得する（かくとくする） 重視 
決め手（きめて） 做決定的人 
夕暮れ（ゆうぐれ） 黃昏、傍晚 
カルシウム 鈣 
補う（おぎなう） 補充、補償、彌補 
缶詰（かんづめ） 罐頭 
遠慮（えんりょ） 客氣、謝絕、避諱 
差し出す（さしだす） 提出、交出、發出 
戸惑う（とまどう） 猶豫、不知所措、不知如何是好 
ありがたい 難得的、寶貴的、值得慶幸的、值得感謝的 
偏る（かたよる） 偏頗、偏袒、不平衡 
砂漠（さばく） 沙漠 
改める（あらためる） 改正、改變、改換、改善、檢查 
自炊（じすい） 自己開伙 
ひかれる 被～吸引 
機能性（きどうせい） 功能性 
抜群（ばつぐん） 超群、拔群 
郊外（こうがい） 郊外 
一戸建て（いっこだて） 獨棟樓房、獨門獨戶的樓房 
盗む（ぬすむ） 偷偷地做 
風雨（ふうう） 風雨 
強まる（つよまる） 變強 
漁（りょう） 捕魚、漁業 
漁船（ぎょせん） 漁船 
語学力（ごがくりょく） 語言能力 
必要性（ひつようせい） 必要性 
汚職（おしょく） 貪汙、瀆職 
薄れる（うすれる） 漸薄、漸弱、模糊 
出費（しゅっぴ） 支出、開支、開銷 
要望書（ようぼうしょ） 請願書 
署名（しょめい） 署名、簽字 
印鑑（いんかん） 印鑑 
構造（こうぞう） 構造 
欠陥（けっかん） 缺陷、缺點 
循環（じゅんかん） 循環、重複 
仕入れ値（しいれね） 成本價、進貨價 
打ち合わせ（うちあわせ） 事前安排、籌備會議、簡介會 
栄養補助食品（えいようほじょしょくひん） 營養補充劑、 膳食補充劑 
偏食症（へんしょくしょう） 偏食症 
軽量化する（けいりょうかする） 輕量化
業界（ぎょうかい） 業界、行業
流れ（ながれ） 流行、流程、流向
ウォーキングシューズ 輕便鞋、健走鞋
視点（してん） 觀點、角度
見た目（みため） 外觀、外表
重視する（じゅうしする） 重視
マニュアル 指南手冊、操作流程
右に出る者はいない（みぎにでるものはいない） 無人能出其右
トップレベル 最高級別、高峰
収容する（しゅうようする） 容納、收容
食生活（しょくせいかつ） 飲食生活、每天的伙食
余計な（よけいな） 多餘的
口を出す（くちをだす） 多嘴、插嘴
にきび 痘痘、粉刺、痤瘡
生まれ変わる（うまれかわる） 轉世、投胎、大改變、脫胎換骨
警部（けいぶ） 警部（日本警察職級之一）
了承する（りょうしょうする） 理解、諒解、同意
発注する（はっちゅうする） 下訂單、訂購、訂貨
納期（のうき） 交貨期、繳納期
グローバル化する（ぐろーばるかする） 全球化
手渡す（てわたす） 遞交、親手交給、當面交給
報道関係者（ほうどうかんけいしゃ） 媒體相關人員
昇進（しょうしん） 轉機 
損害（そんがい） 損害 
出社（しゅっしゃ） 上班 
真っ暗な（まっくらな） 漆黑的 
一軒屋（いっけんや） 一棟式住宅 
空家（あきや） 空宅 
不審な（ふしんな） 可疑的 
悲鳴（ひめい） 哀鳴、悲鳴、慘叫 
争う（あらそう） 競爭、鬥爭 
おごる（おごる） 請客 
反則（はんそく） 違規、違章 
写す（うつす） 抄寫 
ささやく 喃喃細語、咬耳朵 
出版（しゅっぱん） 出版 
抵抗する（ていこうする） 抵抗 
山火事（やまかじ） 山林大火 
下山（げざん） 下山 
一刻も早く（いっこくもはやく） 儘快、盡可能早點 
不老不死（ふろうふし） 長生不老 
居眠り（いねむり） 打瞌睡、打盹 
天職（てんしょく） 天職、神聖的職責 
幼少期（ようしょうき） 童年、幼年時期 
築く（きずく） 打下、建立 
奴ら（やつら） 他們 
漏れる（もれる） 漏、洩露 
合併する（がっぺいする） 合併 
脱サラする（だつさらする） 辭去正式工作而自己獨立做生意 
記録（きろく） 記錄 
薬物（やくぶつ） 藥物 
フェアプレイ 公平競爭  
すっかり 全部、都 
閉じこもる（とじこもる） 閉門不出 
衝撃的な（しょうげきてきな） 衝擊的、刺激的 
改革する（かいかくする） 改革 
千羽鶴（せんばづる） 千紙鶴 
にらみつける 瞪眼、怒目而視 
品数（しなかず） 品種、樣數 
肌寒い（はださむい） 覺得有點冷 
北国（きたぐに） 北國、北方 
芽（め） 芽 
公認会計士（こうにんかいけいし） 註冊會計師 
事態（じたい） 事態 
はるばる 很遠地 
旧友（きゅうゆう） 舊友、故交 
もてなした 請客、招待 
クビ 首腦 
気遣い（きづかい） 擔心、憂慮 
預け（あずけ） 託付保管、存、寄存、寄託 
新た（あらた） 新、重新 
飼い主（かいぬし） 寵物主人 
告げる（つげる） 告知、通報
ばれる 露陷、敗露
おかず 小菜、菜餚
柔道（じゅうどう） 柔道
小川（おがわ） 小河
やりがいのある 有價值
さんざん 拚命地、狠狠地、徹底地
苦労を重ねる（くろうをかさねる） 吃了很多苦、不斷受苦
暴力を振るう（ぼうりょくをふるう） 施暴
突き当り（つきあたり） 道路的盡頭
パンチ 打孔機、拳擊、震撼人心
問いかける（といかける） 詢問、打聽
戸惑い（とまどい） 束手無策、不知如何是好
自主制作（じしゅせいさく） 自行製作、自產
荷物運び（にもつはこび） 搬運工
チョモランマ 珠穆朗瑪峰
山頂（さんちょう） 山頂
治療費（ちりょうひ） 醫療費
お世辞（おせじ） 恭維、奉承、應酬話
申し出（もうしで） 申請、提議、提出
逆らう（さからう） 違背、違反
安定する（あんていする） 安定
方針（ほうしん） 方針
歩道（ほどう） 人行道
感情（かんじょう） 情感
否定する（ひていする） 否定
履歴書（りれきしょ） 履歷表
職歴（しょくれき） 工作經歷
人目（ひとめ） 別人的目光、眾目
抱き上げる（だきあげる） 抱起、抱著舉起
虫に刺される（むしにさされる） 被蟲咬、被蟲蟄
家族を亡くす（かぞくをなくす） 失去（家人）
解答欄（かいとうらん） 答案欄
恐れる（おそれる） 害怕、恐懼、擔心
親しみを込める（したしみをこめる） 友善地、友好地
恨む（うらむ） 憎恨、怨恨
福利厚生（ふくりこうせい） 福利
受け継ぐ（うけつぐ） 繼承
訪れる（おとずれる） 來臨、造訪、拜訪 
精神力（せいしんりょく） 精神力、意志力
確信する（かくしんする） 確信
競技場（きょうぎじょう） 競技場 
納得する（なっとくする） 認同、認可、理解、領會 
憲章（けんしょう） 憲章 
構築（こうちく） 建構 
時間がたつ（じかんがたつ） (時間)經過 
めったに～ない 幾乎不～、幾乎沒有～ 
遺産（いさん） 遺產 
村人（むらひと） 村民、村裡人 
捜査（そうさ） 搜查 
是非（ぜひ） 是非對錯 
免疫力（めんえきりょく） 免疫力 
少子高齢化（しょうしこうれいか） 少子化 
経済構造（けいざいこうぞう） 經濟結構 
一言（ひとこと） 一語、一句話 
診療所（しんりょうじょ） 診療所 
心構え（こころがまえ） 心理覺悟、心理準備、心態 
仮に（かりに） 假如、假定、如果 
適正に（てきせいに） 適當地、公平地、合理地 
親権（しんけん） 父母監護權 
異なる（ことなる） 不同、不一樣 
予算案（よさんあん） 預算草案 
与野党（よやとう） 執政黨與在野黨 
缶詰（かんづめ） 罐頭 
上達する（じょうたつする） 提升 
年賀状（ねんがじょう） 新年賀卡 
社説（しゃせつ） 社論
国を挙げて（くにをあげて） 舉國
今日（こんにち） 現今、這時代
犠牲にする（ぎせいにする） 犧牲
賛同する（さんどうする） 贊成、贊同
招致する（しょうちする） 邀請、招聘
持ち越す（もちこす） 留待下次解決
復興する（ふっこうする） 復興、重建
求められる（もとめられる） 被要求、被追求
嘴（くちばし） 鳥喙
相まって（あいまって） 相輔相成
効く（きく） 有效果
向いていない（むいていない） 對～來說不適合
納得する（なっとくする） 認可、理解
鋭い爪（するどいつめ） 尖銳的爪子
トビ 老鷹
コツ 訣竅
溶き卵（ときたまご） 打散的蛋
下味をつけた〜（したあじをつけた） 調味過的～ 
蓋（ふた） 蓋子
幻（まぼろし） 幻象
幻の〜（まぼろしの）  傳說中的～ 
ネズミ捕り（ねずみとり） 捕鼠器
羽アリ（はねあり） 會飛的白蟻
プリザーブドフラワー 永生花、假花 
胃腸（いちょう） 腸胃 
ツボマッサージ 穴位按摩
眼科（がんか） 眼科
シングル 單人房
ツイン 有兩張單人床的雙人房
ダブル 有一張雙人床的雙人房
トリプル 三人房 
万が一（まんがいち） 萬一
見晴らし（みはらし） 景觀、眺望 
押さえる（おさえる） 確定（預約）、壓制住、控制住
勝ち目（かちめ） 勝算
手を引く（てをひく） 收手、退出
麺が伸びる（めんがのびる） 麵都糊了
メド 目標、頭緒
メドがつく 有頭緒
ハンドルを切る（はんどるをきる） 轉方向盤
日当たり（ひあたり） 採光
当たりの〜（あたりの） 是個不錯的～
影響を与える（えいきょうをあたれる） 對～有影響（有多種用法）
ゴテゴテ ～過多
ピッタリ 適合
スッキリする 簡潔
エスニック 民族風
シュノーケリング 浮潛
ホエールウォッチング 賞鯨
問答（もんどう） 問答、商談、交談、爭論 
綱（つな） 粗繩、繩索 
可決（かけつ） (提案)通過 
診察室（しんさつしつ） 診療室 
中途半端（ちゅうとはんぱ） 半途而廢 
やむを得ない（やむをえない） 不得已、沒辦法 
うんと 多～、大大地、用力地、使勁～ 
はめる  嵌上、鑲上、使陷入、欺騙、擲入、使沉入 
相続く（あいつづく） 連續 
しきりに 頻繁地、再三地、熱心、催促 
欲張る（よくばる） 貪婪、貪心、貪得無厭 
白髪（しらが） 白頭髮 
抽象（ちゅうしょう） 抽象 
誤動作（ごどうさ） （機械）錯誤地運作 
サイレン 警笛 
パンク 爆胎、爆破 
目下（めした） 部下、下屬、晚輩 
とっくに 早就、很早以前 
脱線（だっせん） 出軌、脫軌、離題、脫離常規 
必需品（ひつじゅひん） 必需品 
受け持つ（うけもつ） 負責 
お葬式（おそうしき） 葬禮 
いたずらに 調皮地 
ほぼ 大約、大體上 
腰掛ける（こしかける） 坐下 
徐々に（じょじょに） 慢慢地、徐徐地、漸漸地、逐步地 
しだいに 依次、逐漸進展為～ 
せっせと 一個勁地、拚命地 
さっと 迅速地、飛快地、一下子 
しみじみ 堅決地 
もたれる 倚靠、依賴別人 
思いつく（おもいつく） 想到新點子 
何しろ（なにしろ） 反正、總之 
献立（こんだて） 菜譜、菜單、準備、籌備 
粗末（そまつ） 不重視、粗糙 
