單字,讀音,中文
のんびり,,無拘無束地
のんびりする,,別緊張
ノーベル賞,のーべるしょう,諾貝爾獎
灰色,はいいろ,灰色
排出する,はいしゅつする,排出，排放
俳優,はいゆう,演員
配慮する,はいりょする,關懷，照顧，操心
はがき,,明信片
拍手,はくしゅ,鼓掌
激しい,はげしい,激烈的，猛烈的
励ます,はげます,鼓勵，激勵
走り回る,はしりまわる,輾轉，奔波
外す,はずす,除名，從~中刪除
果たす,はたす,完成，實現
肌寒い,はださむい,覺得有點冷
肌触り,はだざわり,觸感
発掘,はっくつ,發掘
発注する,はっちゅうする,下訂單，訂購，訂貨
発展する,はってんする,發展
派手,はで,華麗，鮮艷，假惺惺
放す,はなす,釋放，放開
花束,はなたば,花束
華やかな,はなやかな,華麗的，盛大的，顯赫的，光鮮亮麗的
羽アリ,はねあり,會飛的白蟻
はめる,,嵌上，鑲上，使陷入，欺騙，擲入，使沉入
早食い選手権,はやぐいせんしゅけん,大胃王競賽
流行る,はやる,流行，蔓延
払う,はらう,支付，提醒
腹が減る,はらがへる,肚子餓（多為男性使用的非正式口語表達）
はるばる,,很遠地
腫れる,はれる,腫脹
反抗する,はんこうする,反抗
反則,はんそく,違規，違章
判断力,はんだんりょく,判斷力，辨別
ハンドルを切る,はんどるをきる,轉方向盤
売店,ばいてん,小賣店，小賣部
抜群,ばつぐん,超群，拔群
ばれる,,露陷，敗露
パティシエ,,西點師傅
パトロール,,巡邏，巡視
パンク,,爆胎，爆破
パンチ,,打孔機；拳擊；震撼人心
日当たり,ひあたり,採光
ひかれる,,被...吸引
悲観,ひかん,悲觀的
被害,ひがい,受害，受災
被害にあう,ひがいにあう,遭遇（災害）
引き上げる,ひきあげる,提升，抬高，抬起
引き受ける,ひきうける,接受，負責，承攬
引き取る,ひきとる,退場；認領，取回
低い,ひくい,低，矮，低賤
日頃,ひごろ,每天
被災地,ひさいち,災區
悲惨な,ひさんな,悲慘的
秘書,ひしょ,祕書
必着,ひっちゃく,必須到達，必須送達
ヒット商品,ひっとしょうひん,熱賣商品，暢銷貨
必需品,ひつじゅひん,必需品
必需品,ひつじゅひん,必需品
必要性,ひつようせい,必要性
否定する,ひていする,否定
人柄,ひとがら,人品，人格
一言,ひとこと,一句話，無話可說，無可辯解
一言,ひとこと,一語，一句話
人手不足,ひとでぶそく,人手不足
人目,ひとめ,別人的目光，眾目
批判する,ひはんする,批判
日々,ひび,天天，每天
悲鳴,ひめい,哀鳴，悲鳴，慘叫
評価,ひょうか,評價
表計算,ひょうけいさん,試算表
開く,ひらく,打開，開始
昼飯,ひるめし,午飯（多為男性使用的非正式口語表達）
ビジネスバッグ,,公事包
病状,びょうじょう,病情，病況
ビーバー,,海狸
風雨,ふうう,風雨
風力発電,ふうりょくはつでん,風力發電
フェアプレイ,,公平競爭
不快な,ふかいな,不愉快的
普及,ふきゅう,普及
普及,ふきゅう,普及
不況,ふきょう,不景氣，蕭條
付近,ふきん,附近
複雑,ふくざつ,複雜
福利厚生,ふくりこうせい,福利
不審な,ふしんな,可疑的
防ぐ,ふせぐ,防止，預防
防ぐ,ふせぐ,防禦，捍衛，防止，預防
防げる,ふせげる,防止，預防
蓋,ふた,蓋子
負担,ふたん,負擔，承擔
負担,ふたん,
普段,ふだん,平常的,習慣的,平常的,每天的,總是的
復興する,ふっこうする,復興，重建
太枠,ふとわく,粗框
振られる,ふられる,把...甩了；被甩了
振り込み,ふりこみ,轉帳
フリーズ,,沒有反應，當機
フリーマーケット,,跳蚤市場
フレックスタイム,,彈性工作時間
不老不死,ふろうふし,長生不老
雰囲気,ふんいき,氣氛
噴火,ふんか,噴發，噴火
紛失する,ふんしつする,遺失
部外者,ぶがいしゃ,局外人
部署,ぶしょ,部門
仏教,ぶっきょう,佛教
ぶっ続けで,ぶっつづけて,持續，連續
ぶつかる,,衝撞，碰撞
ぶつかる,,碰/撞在一起，衝突
ぶつぶつ,,嘟嚷，牢騷，許多顆粒狀物，雞皮疙瘩
ブドウ,,葡萄
ブラウス,,女式襯衫
文化遺産,ぶんかいさん,文化遺產
文庫本,ぶんこぼん,文庫本，袖珍本，小型平裝書
分別する,ぶんべつする,區別，分別，判別
分野,ぶんや,領域，範疇
分類する,ぶんるいする,分類
プリザーブドフラワー,,永生花，假花
プレゼン,,介紹
閉店セール,へいてんせーる,清倉特賣
ヘクトパスカル,,百帕
ヘルパー,,幫手，助手
変革,へんかく,變改，改革
偏食症,へんしょくしょう,偏食症
返品する,へんぴんする,退貨
紅芋,べにいも,紫肉紅薯
ペンキ,,油漆
方針,ほうしん,方針
報道関係者,ほうどうかんけいしゃ,媒體相關人員
豊富,ほうふ,豐富
吠える,ほえる,吼叫，咆哮
ホエールウォッチング,,賞鯨
ほぐれる,,解開，消除
誇らしい,ほこらしい,自豪，洋洋得意，自鳴得意
埃,ほこり,灰塵
誇り,ほこり,榮耀，自豪，自尊心
歩道,ほどう,人行道
骨,ほね,骨骼
微笑む,ほほえむ,微笑
ほぼ,,大約，大體上
貿易,ぼうえき,貿易
防止,ぼうし,防止
膨張する,ぼうちょうする,膨脹
忘年会,ぼうねんかい,忘年會，年終宴會
防犯,ぼうはん,防止犯罪
暴風域,ぼうふういき,暴風圈
暴力を振るう,ぼうりょくをふるう,施暴
募集,ぼしゅう,招募
ますます,,越來越...
ますます,,愈發，越…，越…，更加
貧しい,まずしい,貧窮，貧苦
真っ赤な,まっかな,通紅，鮮紅
真っ暗な,まっくらな,漆黑的
まったく,まったく,的確，完全
学ぶ,まなぶ,學習，掌握，體會
マニュアル,,指南手冊，操作流程
幻,まぼろし,幻象
幻の〜,まぼろしの,傳說中的～
丸印,まるじるし,圓圈符號
満員,まんいん,擠滿人
万が一,まんがいち,萬一
マーケティング,,市場行銷
見合いする,みあいする,相親
見合わせる,みあわせる,推遲，暫停操作，停止執行某項操作，交換眼神，互相看著
右に出る者はいない,みぎにでるものはいない,無人能出其右
見た目,みため,外觀，外表
見た目,みため,外觀，外表
見た目,みため,外觀，外表
乱れ,みだれ,混亂，騷亂，紊亂
見通し,みとおし,能見度
見直す,みなおす,重新考慮，重新審視
身につける,みにつける,掌握
実る,みのる,結果實；取得成果
見晴らし,みはらし,景觀，眺望
身分証明書,みぶんしょうめいしょ,身份證
耳を傾ける,みみをかたむける,側耳傾聽，聆聽
都,みやこ,大城市，都市
向いていない,むいていない,對...來說不適合
向こう,むこう,對方（＝相手）
虫に刺される,むしにさされる,被蟲蟄，被蟲咬
虫に刺される,むしにさされる,被蟲咬，被蟲蟄
虫歯,むしば,蛀牙
無駄遣いする,むだづかいする,浪費
夢中,むちゅう,熱衷於…，入神，著迷，瘋狂，恍惚
胸を張る,むねをはる,趾高氣揚，得意洋洋
無名,むめい,無名
村人,むらひと,村民，村裡人
群れ,むれ,群，群體
芽,め,芽
命じる,めいじる,命令，要求
めいっぱい,,盡全力，盡可能
目下,めした,部下，下屬，晚輩
めったに～ない,,幾乎不～，幾乎沒有～
メド,,目標，頭緒
メドがつく,,有頭緒
免疫力,めんえきりょく,免疫力
麺が伸びる,めんがのびる,麵都糊了
面接,めんせつ,會面，接見
メーカー,,廠商
もうけ,,利潤，賺頭
もうける,,發財，賺錢
申し出,もうしで,申請，提議，提出
猛暑,もうしょ,酷暑
毛布,もうふ,毯子，毛毯
燃え広がる,もえひろがる,延燒，火勢蔓延
目撃者,もくげきしゃ,目擊者
潜る,もぐる,潛水；潛入
もたらす,,帶來，造成
もたれる,,倚靠，依賴別人
持ち越す,もちこす,留待下次解決
もてなした,,請客，招待
求められる,もとめられる,被要求；被追求
求める,もとめる,尋求，追求
認める,もとめる,認可，承認
催し物,もよおしもの,集會，文化娛樂活動
漏れる,もれる,漏，洩露
文句,もんく,詞語，意見，牢騷
問答,もんどう,問答，商談，交談，爭論
夜間,やかん,夜間，夜晚
野外,やがい,戶外
薬物,やくぶつ,藥物
役割,やくわり,角色，作用
夜食,やしょく,宵夜
野鳥,やちょう,野鳥
奴ら,やつら,他們
山火事,やまかじ,山林大火
やむを得ない,やむをえない,不得已，沒辦法
やりがいがある,,值得做的，有價值的，有意義的
やりがいのある,,有價值
やる気,やるき,幹勁
有給休暇,ゆうきゅうきゅうか,帶薪休假
夕暮れ,ゆうぐれ,黃昏，傍晚
誘致する,ゆうちする,招攬，招致
夕日,ゆうひ,夕陽
輸出,ゆしゅつ,輸出，出口
郵送する,ゆそうする,寄送
豊かな,ゆたかな,豐富的，富足的
緩やかな,ゆるやかな,緩和，緩慢，寬鬆，舒暢
容易に,よういに,容易
要因,よういん,主要因素，主要原因
幼少期,ようしょうき,童年，幼年時期
要請,ようせい,請求，要求
用途,ようと,用途，用處
用法,ようほう,用法，使用說明
要望,ようぼう,需求
要望書,ようぼうしょ,請願書
欲張る,よくばる,貪婪，貪心，貪得無厭
余計な,よけいな,多餘的
予算案,よさんあん,預算草案
寄せる,よせる,召集，聚集；靠近
よそ,,其他
予測,よそく,預測
予防注射,よぼうちゅうしゃ,預防針
夜道,よみち,夜路
与野党,よやとう,執政黨與在野黨
喜ばしい,よろこばしい,可喜的，令人高興的
来客,らいきゃく,來客
来日する,らいにちする,來到日本
楽をする,らくをする,放鬆，過得輕鬆
ラッピング,,包裝
利益,りえき,利益
利害,りがい,利害
立派な,りっぱな,令人欽佩的
立派な,りっぱな,令人欽佩的
流出,りゅうしゅつ,排出
流出,りゅうしゅつ,洩露
留年する,りゅうねんする,留級
漁,りょう,捕魚；漁業
了承する,りょうしょうする,理解，諒解，同意
寮長,りょうちょう,宿舍長，宿舍長
リラックスする,,放輕鬆
履歴書,りれきしょ,履歷表
臨時休業,りんじきゅうぎょう,臨時停業
リーズナブル,,合理的
礼儀,れいぎ,禮儀，禮貌
レース,,蕾絲，花邊
老若男女,ろうにゃくなんにょ,男女老少
路線,ろせん,路線
わずか,,僅僅，一點點
話題になる,わだいになる,成為話題
わめく,,叫，呼喚，嚷嚷
～に追われる,～におわれる,被～追趕，被～緊逼
～にピッタリ,,適合～
～に恵まれる,～にめぐまれる,受～眷顧，受惠於～
