樽（たる） 木桶、桶 
たたずむ 站一會兒、閒逛、停下來 
踏み切る（ふみきる） 大膽地開始、冒險、起飛 
就き（つき） 著手、起程 
クビ 首腦 
さぞかし 肯定的 
外車（がいしゃ） 外國產的汽車、進口車 
皮肉（ひにく） 挖苦、奚落、諷刺、惡意地 
たかが 只不過、僅僅 
精巧（せいこう） 精巧、精緻 
親元（おやもと） 父母的家、父母的身邊 
送金（そうきん） 匯款、寄錢 
見通し（みとおし） 預想、預測 
ガタガタ 搖搖晃晃的 
紺色（こんいろ） 深藍色、海軍藍 
教卓（きょうたく） 講桌 
ささやき 竊竊私語 
形式的な（けいしきてきな） 表面的、形式上的 
ガラッと 門一下子打開的聲音 
当～（とう） 此～
きれいさっぱり捨てる（きれいさっぱりすてる） 拋棄得乾乾淨淨
想い（おもい） 愛慕、思考、想法
語り明かす（かたりあかす） 談到天亮、聊到黎明
徹する（てっする） 徹底、貫徹
試写会（ししゃかい） 試映會
見かねる（みかねる） 看不下去、不忍旁觀
待ちかねる（まちかねる） 翹首盼望、伸長脖子、等不下去
里（さと） 村落、村莊
平然な（へいぜんな） 沉著地、坦然不驚地 
安らか（やすらか） 安樂、無憂無苦、平靜
寄り添う（よりそう） 貼近、挨近
華々しい（はなばなしい） 華麗、絢麗、輝煌
うそも方便（うそもほうべん） 撒謊也是權宜之計
率いる（ひきいる） 率領、帶領
船団（せんだん） 船隊
引き受ける（ひきうける） 接受、承擔、保證、照料
任務（にんむ） 任務
先を争う（さきをあらそう） 爭先恐後
大役（たいやく） 艱難的任務、重大使命、重要角色
駆け寄る（かけよる） 跑到跟前、跑近
創る（つくる） 創造
慌てる（あわてる） 慌張、著急
刀（かたな） 刀
～に立ち会う（にたちあう） 到場、在場、在～的現場
一刻も早く（いっこくもはやく） 立即、盡快
広報活動（こうほうかつどう） 宣傳活動
ビジネスを立ち上げる（びじねすをたちあげる） 創業、開始做生意
つぶやく 低語、喃喃自語、嘟嘟囔囔
ぶつぶつ 抱怨、嘮叨、發牢騷
人ごみ（ひとごみ） 人群
接戦（せっせん） 難分勝負的激烈鬥爭
抜く（ぬく） 拔起、除掉、省略、堅持到底

